image_id,db_name
baileys_tiramisu,奶酒提拉米蘇
classic_tiramisu,經典提拉米蘇
pudding_mocha_tiramisu,烤焦糖布丁摩卡米蘇
yuzu_apple_cheese_tiramisu,日本柚子蘋果乳酪米蘇
matcha_tiramisu,小山園抹茶米蘇
classic_pudding,布丁
honey_blacktea_latte_millecrepe,蜜香紅茶拿鐵千層
rich_hojicha_latte_millecrepe,焙茶拿鐵千層
rich_matcha_millecrepe,特濃抹茶千層
lemon_yuzu_strawberry_millecrepe,檸檬日本柚子草莓千層
lemon_yuzu_millecrepe,檸檬日本柚子千層
earlgrey_milkfoam_millecrepe,伯爵茶千層
chocolate_berry_strawberry_millecrepe,巧克力莓果草莓千層
chocolate_brownie_millecrepe,法芙娜巧克力布朗尼千層
custard_strawberry_millecrepe,卡士達十勝草莓千層
fruit_party_millecrepe,十勝低糖水果森林千層
hokkaido_berry_strawberry_millecrepe,十勝低糖原味莓果草莓千層
lowsugar_original_millecrepe,北海道十勝低糖原味千層
buckwheat_tea,蕎麥茶
hojicha_latte,焙茶拿鐵
sicily_coffee,西西里美式
herbal_tea,花草茶
classic_americano,美式咖啡
licorice_mint_tea,薄荷茶
rich_latte,經典拿鐵
yuzu_americano,日本柚子美式
matcha_latte,抹茶拿鐵
rooibos_tea,博士茶
yuzu_tea,柚子茶
valrhona_cocoa,法芙娜可可
pudding_latte,烤布丁拿鐵
berry_chocolate_chiffon,莓果巧克力戚風蛋糕
strawberry_chocolate_berry_chiffon,巧克力草莓莓果戚風蛋糕
caramel_pudding_chiffon,烤焦糖布丁戚風蛋糕
strawberry_berry_chiffon,十勝草莓莓果戚風蛋糕
saltedegg_basque,鹹蛋黃巴斯克
lemon_basque,檸檬巴斯克
classic_basque,原味巴斯克
honey_blacktea_basque,蜜香紅茶巴斯克
